# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 14 19:01:46 2023
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag
HD 18143 c,HD 18143,1,2,Radial Velocity,2022,28982.41764205,17.521435,12.500,1.110,3115.44391,9.80228,Mass,8.770000,0.194257,,,0,K2,5078.00,0.87,0.85,-0.320,4.51,22.5243000,7.3320900
HD 181433 b,HD 181433,1,3,Radial Velocity,2008,9.37430000,0.080000,2.400,0.214,6.35660,0.02000,Msini,2.530000,0.400000,,,0,K3 IV,4918.00,0.79,0.63,-0.456,4.45,26.8762000,8.0922800
HD 181433 c,HD 181433,1,3,Radial Velocity,2008,962.00000000,1.760000,14.100,1.260,203.00000,0.64000,Msini,0.398000,0.280000,,,0,K3 IV,4962.00,0.81,0.78,-0.511,4.37,26.8762000,8.0922800
HD 181433 d,HD 181433,1,3,Radial Velocity,2008,2172.00000000,3.000000,14.200,1.270,171.00000,0.54000,Msini,0.328000,0.480000,,,0,K3 IV,4962.00,0.81,0.78,-0.511,4.37,26.8762000,8.0922800
HD 181720 b,HD 181720,1,1,Radial Velocity,2009,956.00000000,1.850000,14.000,1.250,127.13200,0.40000,Msini,0.255000,0.260000,,,0,G1 V,5736.00,1.50,1.03,0.288,4.09,60.2046000,7.6748400
HD 183263 b,HD 183263,1,2,Radial Velocity,2004,624.87403922,1.459291,13.100,1.170,1102.03602,3.46739,Msini,2.690000,0.382509,,,0,G2 IV,5948.00,1.23,1.06,0.250,4.37,54.1955000,7.7181800
HD 183263 c,HD 183263,1,2,Radial Velocity,2008,4667.97840705,5.581571,12.500,1.120,2959.02909,9.31015,Mass,8.330000,0.051364,,,0,G2 IV,5875.99,1.29,1.06,0.250,4.28,54.1955000,7.7181800
HD 183579 b,HD 183579,1,1,Transit,2021,17.47127800,0.133400,3.550,0.317,19.70000,0.06198,Mass,2.390000,0.280000,58.10,769,0,G2 V,5788.00,0.99,1.03,0.012,4.50,57.2651000,8.5154900
HD 184010 b,HD 184010,1,3,Radial Velocity,2022,286.60000000,0.940000,12.100,1.080,98.52681,0.31000,Msini,0.306000,0.000000,,,0,K0 III-IV,4971.00,4.86,1.35,1.117,3.18,60.7993000,5.6450800
HD 184010 c,HD 184010,1,3,Radial Velocity,2022,484.30000000,1.334000,11.800,1.060,95.34852,0.30000,Msini,0.319000,0.000000,,,0,K0 III-IV,4971.00,4.86,1.35,1.117,3.18,60.7993000,5.6450800
HD 184010 d,HD 184010,1,3,Radial Velocity,2022,836.40000000,1.920000,14.300,1.280,143.02278,0.45000,Msini,0.269000,0.000000,,,0,K0 III-IV,4971.00,4.86,1.35,1.117,3.18,60.7993000,5.6450800
HD 18438 b,HD 18438,1,1,Radial Velocity,2023,803.00000000,2.100000,12.100,1.080,6674.39655,21.00000,Msini,20.700000,0.100000,,,0,M2.5 III,3860.00,88.48,1.84,2.968,0.90,224.1460000,4.7319900
HD 185269 b,HD 185269,3,1,Radial Velocity,2006,6.83776000,0.077000,13.800,1.230,321.00830,1.01000,Msini,0.671000,0.229000,,,0,G0 IV,5923.00,2.00,1.30,0.694,3.92,51.9917000,6.5183100
HD 18599 b,HD 18599,2,1,Transit,2022,4.13743540,0.048000,2.600,0.232,24.10000,0.07583,Mass,7.500000,0.340000,145.00,863,0,K2 V,5145.00,0.77,0.86,-0.429,4.54,38.5653000,8.7311700
HD 187085 b,HD 187085,1,1,Radial Velocity,2006,1019.74000000,2.100000,13.900,1.240,265.70588,0.83600,Msini,0.544000,0.251000,,,0,G0 V,6117.00,1.27,1.19,2.130,4.28,45.8993000,7.0750800
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,3.09658280,0.042600,14.200,1.270,166.21800,0.52300,Msini,0.319000,0.010300,,,0,G3 V,5790.00,1.15,1.04,0.127,4.33,45.9548000,7.6728400
HD 187123 c,HD 187123,1,2,Radial Velocity,2008,3810.00000000,4.890000,13.400,1.190,632.46000,1.99000,Msini,1.440000,0.252000,,,0,G3 V,5790.00,1.15,1.04,0.127,4.33,45.9548000,7.6728400
HD 18742 b,HD 18742,1,1,Radial Velocity,2011,766.00000000,1.820000,13.100,1.170,1080.62200,3.40000,Msini,2.640000,0.040000,,,0,G8/K0 IV,4940.00,5.13,1.36,1.143,3.09,162.6850000,7.5546400
HD 188015 b,HD 188015,2,1,Radial Velocity,2004,461.20000000,1.203000,13.600,1.210,476.72000,1.50000,Msini,1.040000,0.137000,,,0,G5 IV,5746.00,1.13,1.09,0.059,4.45,50.6706000,8.0658800
HD 188641 b,HD 188641,1,1,Radial Velocity,2022,14583.81038324,11.958319,11.900,1.060,9262.62856,29.14349,Mass,30.200000,0.034325,,,0,,5897.32,1.94,1.07,0.615,3.89,64.3399000,7.1776100
HD 189567 b,HD 189567,1,2,Radial Velocity,2021,14.28800000,0.111000,2.850,0.254,8.50000,0.02674,Msini,2.020000,0.189000,,,0,G3 V,5726.00,1.04,0.83,0.324,4.41,17.9055000,5.9098000
HD 189567 c,HD 189567,1,2,Radial Velocity,2021,33.68800000,0.197000,2.540,0.227,7.00000,0.02202,Msini,2.350000,0.160000,,,0,G3 V,5726.00,1.04,0.83,0.324,4.41,17.9055000,5.9098000
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,2.21857567,0.031260,12.666,1.130,359.14790,1.13000,Mass,0.943000,0.000000,356.00,1209,0,K2 V,5052.00,0.75,0.79,-0.461,4.49,19.7638000,7.4143200
HD 190007 b,HD 190007,1,1,Radial Velocity,2020,11.72000000,0.092000,4.210,0.375,16.46000,0.05179,Msini,1.210000,0.140000,,,0,K3/4V,4610.00,0.79,0.77,-0.680,4.58,12.7141000,7.0634100
HD 190228 b,HD 190228,1,1,Radial Velocity,2022,1143.59857585,2.405224,12.800,1.140,1726.82637,5.43320,Mass,4.520000,0.559130,,,0,,5238.00,2.59,1.42,0.657,,62.7146000,7.0848200
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,2854.00000000,3.900000,13.400,1.200,572.09113,1.80000,Mass,1.310000,0.340000,,150,0,G V,5552.00,1.14,1.00,0.066,4.30,16.0069000,5.5543600
HD 190360 c,HD 190360,2,2,Radial Velocity,2005,17.11100000,0.130400,4.590,0.409,19.06900,0.06000,Msini,1.080000,0.237000,,,0,G6 IV,5549.00,1.17,0.98,0.066,4.29,16.0069000,5.5543600
HD 190647 b,HD 190647,1,1,Radial Velocity,2007,1176.45000000,2.231000,13.400,1.190,630.89255,1.98500,Msini,1.440000,0.224000,,,0,G5 V,5656.00,1.38,1.07,0.297,4.16,54.4738000,7.5942000
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,4885.00000000,5.500000,13.100,1.170,985.20000,3.10000,Msini,2.410000,0.570000,,,0,F8 V,5988.00,1.53,0.91,0.430,4.02,148.1870000,8.6112600
HD 191806 b,HD 191806,1,1,Radial Velocity,2016,1603.38923493,2.746858,12.500,1.120,2968.87379,9.34112,Mass,8.350000,0.213427,,,0,K0,6010.00,1.40,1.07,0.348,4.45,65.6668000,7.9333900
HD 191939 b,HD 191939,1,6,Transit,2020,8.88032560,0.080400,3.410,0.304,10.00000,0.03146,Mass,1.400000,0.031000,100.00,880,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 191939 c,HD 191939,1,6,Transit,2020,28.57974300,0.175200,3.195,0.285,8.00000,0.02517,Mass,1.350000,0.034000,21.00,600,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 191939 d,HD 191939,1,6,Transit,2020,38.35303700,0.213200,2.995,0.267,2.80000,0.00881,Mass,0.570000,0.031000,14.30,540,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 191939 e,HD 191939,1,6,Radial Velocity,2022,101.12000000,0.407000,13.000,1.160,112.20000,0.35302,Msini,0.281000,0.031000,3.90,390,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 191939 f,HD 191939,1,6,Radial Velocity,2022,2200.00000000,3.200000,13.400,1.190,660.00000,2.07659,Msini,1.510000,0.000000,,125,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 191939 g,HD 191939,1,6,Transit,2022,284.00000000,0.812000,3.740,0.334,13.50000,0.04248,Msini,1.420000,0.030000,0.99,278,0,G9 V,5348.00,0.94,0.81,-0.187,4.30,53.6089000,8.7747600
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,24.35560000,0.150000,14.200,1.260,177.98480,0.56000,Msini,0.342000,0.050000,,486,0,K2 V,4976.00,0.74,0.66,-0.470,4.51,19.6359000,7.4955800
HD 192310 b,HD 192310,1,2,Radial Velocity,2011,74.72000000,0.320000,4.270,0.381,16.90000,0.05320,Msin(i)/sin(i),1.190000,0.130000,,355,0,K3V,5166.00,0.86,0.80,-0.415,4.51,8.7968700,5.4766100
HD 192310 c,HD 192310,1,2,Radial Velocity,2011,525.80000000,1.180000,5.250,0.469,24.00000,0.07600,Msin(i)/sin(i),0.911000,0.320000,,185,0,K3V,5166.00,0.81,0.80,-0.415,4.51,8.7968700,5.4766100
HD 192699 b,HD 192699,1,1,Radial Velocity,2007,340.94000000,1.063000,13.400,1.190,666.17168,2.09600,Msini,1.520000,0.082000,,,0,G8 IV,5041.00,4.41,1.38,1.009,3.25,71.8627000,6.2108500
HD 194490 b,HD 194490,1,1,Radial Velocity,2022,13092.18347776,11.043187,12.400,1.110,3580.02270,11.26401,Mass,10.300000,0.251363,,,0,,5861.32,1.15,1.06,0.147,4.34,80.2349000,8.8273100
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,18.20132000,0.140000,13.000,1.160,1264.96340,3.98000,Msini,3.160000,0.010000,,,0,G3 IV-V,5751.00,1.48,1.21,0.333,4.18,37.6681000,6.7291100
HD 196050 b,HD 196050,3,1,Radial Velocity,2002,1378.00000000,2.510000,13.100,1.170,1010.69940,3.18000,Msini,2.470000,0.230000,,,0,G4 V,5879.00,1.42,1.31,0.260,4.25,50.6742000,7.3407000
HD 196067 b,HD 196067,2,1,Radial Velocity,2012,3638.00000000,5.020000,12.300,1.100,3972.85509,12.50000,Mass,11.700000,0.660000,,,0,G1 V,6017.00,1.73,1.29,0.572,4.24,39.9346000,6.3300900
HD 19615 b,HD 19615,1,1,Radial Velocity,2022,402.00000000,1.100000,12.600,1.120,2701.54146,8.50000,Msini,7.420000,0.200000,,,0,K0,4263.00,32.30,1.10,2.515,1.40,265.1550000,6.0201200
HD 196885 A b,HD 196885 A,2,1,Radial Velocity,2007,1333.00000000,2.370000,13.200,1.180,819.97000,2.58000,Msini,1.960000,0.480000,,,0,F8 V,6254.00,1.31,1.28,0.380,4.31,34.1692000,6.2614100
HD 197037 b,HD 197037,2,1,Radial Velocity,2012,1035.70000000,2.070000,13.900,1.240,251.00000,0.79000,Msini,0.514000,0.220000,,,0,F7 V,6150.00,1.10,1.11,0.239,4.40,33.1944000,6.6710600
HD 199509 b,HD 199509,1,1,Radial Velocity,2022,99.62167078,0.425988,7.390,0.660,42.86581,0.13487,Msini,0.584000,0.373206,,,0,G3V,5796.02,0.92,1.04,-0.084,4.51,24.3056000,6.8170000
HD 19994 b,HD 19994,3,1,Radial Velocity,2003,466.20000000,1.305000,13.600,1.210,435.41000,1.37000,Msini,0.951000,0.063000,,,0,F8 V,6188.00,1.80,1.36,0.580,4.29,22.5242000,4.9303800
HD 20003 b,HD 20003,1,2,Radial Velocity,2019,11.84820000,0.097400,3.430,0.306,11.66000,0.03670,Msini,1.590000,0.360000,,,0,G8 V,5494.00,0.92,0.88,-0.143,4.41,41.8316000,8.1918400
HD 20003 c,HD 20003,1,2,Radial Velocity,2019,33.92390000,0.196400,3.890,0.347,14.44000,0.04540,Msini,1.350000,0.100000,,,0,G8 V,5494.00,0.92,0.88,-0.143,4.41,41.8316000,8.1918400
HD 200964 b,HD 200964,1,2,Radial Velocity,2010,606.30000000,1.565000,13.500,1.210,508.21017,1.59900,Msini,1.140000,0.087000,,,0,G8 IV,4982.00,4.92,1.39,1.064,3.22,72.5922000,6.2372300
HD 200964 c,HD 200964,1,2,Radial Velocity,2010,852.50000000,1.960000,13.700,1.220,385.84562,1.21400,Msini,0.825000,0.243000,,,0,G8 IV,4982.00,4.92,1.39,1.064,3.22,72.5922000,6.2372300
HD 202206 c,HD 202206,2,1,Radial Velocity,2004,1260.00000000,2.410000,12.200,1.080,5689.15700,17.90000,Mass,17.200000,0.220000,,,0,G6 V,5766.00,1.04,1.07,0.035,4.50,45.9665000,7.9105100
HD 202696 b,HD 202696,1,2,Radial Velocity,2019,517.80000000,1.566000,,,634.38868,1.99600,Mass,,0.011000,,,0,K0 III-IV,5040.00,6.43,1.91,1.369,3.11,188.5460000,7.9592900
HD 202696 c,HD 202696,1,2,Radial Velocity,2019,946.60000000,2.342000,,,592.43512,1.86400,Mass,,0.028000,,,0,K0 III-IV,5040.00,6.43,1.91,1.369,3.11,188.5460000,7.9592900
HD 202772 A b,HD 202772 A,2,1,Transit,2019,3.30895800,0.052080,17.318,1.545,323.23311,1.01700,Mass,0.343000,0.038000,3440.00,2132,0,,6272.00,2.59,1.72,0.971,3.85,161.4980000,8.2268800
HD 203030 b,HD 203030,1,1,Imaging,2006,,487.100000,14.460,1.290,3496.11248,11.00000,Mass,6.350000,,,1040,0,G8 V,5603.00,0.86,0.94,-0.227,4.64,39.2503000,8.2466300
HD 20329 b,HD 20329,1,1,Transit,2022,0.92611800,0.018000,1.720,0.153,7.42000,0.02335,Mass,8.060000,0.000000,3474.00,2141,0,,5596.00,1.13,0.90,0.049,4.40,63.6796000,8.5908900
HD 203387 b,HD 203387,1,2,Radial Velocity,2022,512.53519584,1.768964,13.100,1.170,1110.49341,3.49400,Msini,2.710000,0.731843,,,0,,5174.32,10.59,2.82,1.860,,61.7477000,4.0553400
HD 203387 c,HD 203387,1,2,Radial Velocity,2022,2481.07226962,5.068253,12.600,1.130,2375.78917,7.47507,Mass,6.530000,0.201821,,,0,,5174.32,10.59,2.82,1.860,,61.7477000,4.0553400
HD 203473 b,HD 203473,1,1,Radial Velocity,2018,1552.90000000,2.730000,12.600,1.120,2479.07400,7.80000,Msini,6.810000,0.289000,,,0,G5,5780.00,1.33,1.12,0.250,4.09,72.6402000,8.0769100
HD 2039 b,HD 2039,1,1,Radial Velocity,2002,1120.00000000,2.200000,12.700,1.140,1999.15070,6.29000,Msini,5.360000,0.710000,,,0,G2/G3 IV/V,5945.00,1.19,1.23,0.194,4.38,85.6922000,8.8597400
HD 204313 b,HD 204313,1,3,Radial Velocity,2010,2041.11538546,3.183074,12.900,1.150,1553.54852,4.88801,Mass,3.980000,0.099741,,,0,G5 V,5767.00,1.10,1.03,0.100,4.37,47.7945000,7.8324600
HD 204313 c,HD 204313,1,3,Radial Velocity,2015,34.95875432,0.211213,4.320,0.385,17.20043,0.05412,Msini,1.170000,0.059476,,,0,G5 V,5776.00,1.13,1.03,0.100,4.38,47.7945000,7.8324600
HD 204313 e,HD 204313,1,3,Radial Velocity,2022,7325.64666214,7.444845,12.200,1.090,4841.00771,15.23151,Mass,14.600000,0.253187,,,0,G5 V,5767.00,1.13,1.03,0.100,4.37,47.7945000,7.8324600
HD 204941 b,HD 204941,2,1,Radial Velocity,2011,1733.00000000,2.550000,10.100,0.903,73.10090,0.23000,Msini,0.390000,0.370000,,,0,K1/2V,5026.00,0.78,0.58,-0.509,4.42,28.7165000,8.1909200
HD 205158 b,HD 205158,1,1,Radial Velocity,2022,25.33798092,0.177326,13.800,1.230,123.42834,0.38835,Msini,0.258000,0.145252,,,0,,6133.55,1.88,1.16,0.653,3.96,86.6159000,7.7193400
HD 205739 b,HD 205739,1,1,Radial Velocity,2008,279.80000000,0.896000,13.600,1.210,435.41000,1.37000,Msini,0.951000,0.270000,,,0,F7 V,6176.00,1.33,1.22,0.360,4.29,92.5087000,8.4199100
HD 206255 b,HD 206255,1,1,Radial Velocity,2019,96.04500000,0.461000,6.470,0.577,34.20000,0.10760,Msini,0.694000,0.230000,,,0,G5 IV/V,5635.00,2.22,1.42,0.652,3.75,75.2363000,7.4484900
HD 206610 b,HD 206610,1,1,Radial Velocity,2009,673.20000000,1.740000,13.400,1.190,647.10188,2.03600,Msini,1.480000,0.100000,,,0,K0 III,4842.00,6.12,1.55,1.276,3.22,147.1920000,8.0650600
HD 206893 b,HD 206893,1,2,Imaging,2021,9350.00000000,9.600000,14.011,1.250,8899.19540,28.00000,Mass,17.800000,0.140000,,1429,0,F5 V,6500.00,1.31,1.32,0.456,4.45,40.7583000,6.5678300
HD 206893 c,HD 206893,1,2,Imaging,2022,2090.00000000,3.530000,16.365,1.460,4036.42077,12.70000,Mass,5.060000,0.410000,,1182,0,F5 V,6500.00,1.31,1.32,0.456,4.34,40.7583000,6.5678300
HD 20781 b,HD 20781,2,5,Radial Velocity,2019,5.31350000,0.052900,1.210,0.108,1.93000,0.00610,Msini,5.990000,0.100000,,,0,K0 V,5256.00,0.83,0.70,-0.310,4.37,35.9715000,8.2372000
HD 20781 c,HD 20781,2,5,Radial Velocity,2019,13.89050000,0.100400,2.170,0.193,5.33000,0.01680,Msini,2.870000,0.090000,,,0,K0 V,5256.00,0.83,0.70,-0.310,4.37,35.9715000,8.2372000
HD 20781 d,HD 20781,2,5,Radial Velocity,2019,29.15800000,0.164700,3.250,0.290,10.61000,0.03340,Msini,1.700000,0.110000,,,0,K0 V,5256.00,0.83,0.70,-0.310,4.37,35.9715000,8.2372000
HD 20781 e,HD 20781,2,5,Radial Velocity,2019,85.50730000,0.337400,3.830,0.342,14.03000,0.04420,Msini,1.370000,0.060000,,,0,K0 V,5256.00,0.83,0.70,-0.310,4.37,35.9715000,8.2372000
HD 20782 b,HD 20782,2,5,Radial Velocity,2006,597.06430000,1.364900,13.600,1.210,472.83000,1.48780,Msini,1.030000,0.950000,,,0,G1.5 V,5782.13,1.13,1.04,0.107,4.35,35.9864000,7.1928300
HD 207832 b,HD 207832,3,2,Radial Velocity,2012,160.07000000,0.586000,14.200,1.260,177.98480,0.56000,Msini,0.342000,0.197000,,,0,G5 V,5726.00,0.89,1.05,-0.110,4.48,58.9291000,8.6117600
HD 207832 c,HD 207832,3,2,Radial Velocity,2012,1155.70000000,2.112000,14.000,1.250,232.01590,0.73000,Msini,0.465000,0.270000,,,0,G5 V,5710.00,0.90,0.94,-0.112,4.48,58.9291000,8.6117600
HD 207897 b,HD 207897,1,1,Transit,2021,16.20215900,0.116300,2.501,0.223,14.40000,0.04531,Mass,5.050000,0.047000,26.50,632,0,K0 V,5070.00,0.78,0.80,-0.444,4.56,28.2938000,8.1303700
HD 20794 b,HD 20794,1,4,Radial Velocity,2011,18.31500000,0.120700,1.450,0.129,2.70000,0.00850,Msin(i)/sin(i),4.870000,0.000000,,660,0,G8 V,5401.00,0.92,0.70,-0.163,4.22,6.0027800,4.0663500
HD 20794 c,HD 20794,1,4,Radial Velocity,2011,40.11400000,0.203600,1.350,0.121,2.40000,0.00760,Msin(i)/sin(i),5.360000,0.000000,,508,0,G8 V,5401.00,0.92,0.70,-0.163,4.22,6.0027800,4.0663500
HD 20794 d,HD 20794,1,4,Radial Velocity,2011,90.30900000,0.349900,2.040,0.182,4.80000,0.01500,Msin(i)/sin(i),3.110000,0.000000,,388,0,G8 V,5401.00,0.92,0.70,-0.163,4.22,6.0027800,4.0663500
HD 20794 e,HD 20794,1,4,Radial Velocity,2017,147.02000000,0.509000,2.030,0.181,4.77000,0.01501,Msini,3.130000,0.290000,,,0,G8,5401.00,0.92,0.81,-0.163,4.46,6.0027800,4.0663500
HD 208487 b,HD 208487,1,1,Radial Velocity,2004,130.08000000,0.524000,14.200,1.270,165.26500,0.52000,Msini,0.317000,0.240000,,,0,G2 V,6067.00,1.20,1.13,0.244,4.33,45.1470000,7.3316400
HD 208527 b,HD 208527,1,1,Radial Velocity,2012,875.50000000,2.100000,12.500,1.110,3146.40000,9.90000,Msini,8.850000,0.080000,,,0,M1 III,4035.00,51.10,1.60,2.863,1.40,312.2020000,5.6160700
HD 20868 b,HD 20868,1,1,Radial Velocity,2008,380.85001000,0.950000,13.700,1.220,397.28750,1.25000,Msini,0.849000,0.750000,,,0,K3/4 IV,4802.00,0.76,0.39,-0.529,4.26,47.7223000,9.6132300
HD 208897 b,HD 208897,1,1,Radial Velocity,2017,352.70000000,1.050000,13.600,1.210,444.96200,1.40000,Msini,0.972000,0.070000,,,0,K0,4860.00,4.98,1.25,1.090,3.13,67.4872000,6.2373900
HD 209458 b,HD 209458,1,1,Radial Velocity,1999,3.52474859,0.047070,15.581,1.390,232.01590,0.73000,Mass,0.362000,0.000000,758.36,1459,0,G0 V,6091.00,1.19,1.23,0.231,4.45,48.3016000,7.5086600
HD 210193 b,HD 210193,1,1,Radial Velocity,2019,649.91800000,1.487000,14.300,1.270,153.10000,0.48170,Msini,0.288000,0.240000,,,0,G3 V,5790.00,1.06,1.04,0.056,4.43,42.2029000,7.6687000
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,442.19000000,1.130000,13.600,1.220,410.00070,1.29000,Msini,0.896000,0.480000,,,0,G0 V,5538.00,1.07,1.01,-0.032,4.38,21.2985000,6.3470100
HD 210702 b,HD 210702,1,1,Radial Velocity,2007,354.10000000,1.148000,13.400,1.200,574.63664,1.80800,Msini,1.310000,0.028000,,,0,K1 III,4951.00,4.92,1.61,1.149,3.28,54.1963000,5.6807000
HD 211403 b,HD 211403,1,1,Radial Velocity,2021,223.80000000,0.768000,12.800,1.140,1760.76937,5.54000,Msini,4.610000,0.084000,3.44,380,0,F7 V,6273.00,1.21,1.20,0.364,4.30,83.0919000,8.3486500
HD 211810 b,HD 211810,1,1,Radial Velocity,2018,1558.00000000,2.656000,14.000,1.250,212.94610,0.67000,Msini,0.426000,0.680000,,,0,G5,5652.00,1.13,1.03,0.070,4.26,64.6353000,8.4178310
HD 211970 b,HD 211970,1,1,Radial Velocity,2019,25.20100000,0.143000,3.660,0.327,13.00000,0.04090,Msini,1.460000,0.150000,,,0,K7 V,4127.00,0.57,0.61,-1.065,4.69,13.1277000,8.4044400
HD 212301 b,HD 212301,2,1,Radial Velocity,2005,2.24571000,0.030000,14.200,1.270,162.09330,0.51000,Msini,0.311000,0.000000,,,0,F8 V,6239.00,1.16,1.55,0.243,4.50,54.2304000,7.6349500
HD 212771 b,HD 212771,1,1,Radial Velocity,2009,380.70000000,1.190000,13.300,1.180,759.61370,2.39000,Msini,1.770000,0.076000,,,0,G8 IV,5003.00,5.27,1.56,1.188,3.31,111.1550000,7.3520800
HD 213240 b,HD 213240,2,1,Radial Velocity,2001,882.70001000,1.890000,12.800,1.140,1773.49140,5.58000,Msini,4.650000,0.420000,,,0,G0/1 V,5979.00,1.51,1.57,0.429,4.27,40.8707000,6.6576100
HD 213472 b,HD 213472,1,1,Radial Velocity,2021,17000.00000000,13.000000,13.100,1.170,1112.39942,3.50000,Msini,2.720000,0.530000,,,0,,5729.54,1.43,1.05,0.285,4.14,64.4527000,8.0118900
HD 213519 b,HD 213519,1,1,Radial Velocity,2022,11.12214173,0.099068,3.050,0.272,9.51349,0.02993,Msini,1.840000,0.412688,,,0,,5840.00,1.08,1.05,0.089,4.39,41.0014000,7.5162500
HD 213885 b,HD 213885,1,2,Transit,2019,1.00803500,0.020120,1.745,0.156,8.83000,0.02778,Mass,9.150000,0.000000,3253.81,2128,0,G,5978.00,1.10,1.07,0.139,4.38,48.0883000,7.8017300
HD 213885 c,HD 213885,1,2,Radial Velocity,2019,4.78503000,0.056798,4.710,0.420,19.95000,0.06277,Msini,1.050000,0.000000,,1265,0,G,5978.00,1.10,1.07,0.139,4.38,48.0883000,7.8017300
HD 21411 b,HD 21411,1,1,Radial Velocity,2019,84.28800000,0.362000,9.520,0.850,65.90000,0.20734,Msini,0.420000,0.400000,,,0,G8 V,5605.00,0.83,0.89,-0.266,4.51,29.1328000,7.6818300
HD 214823 b,HD 214823,2,1,Radial Velocity,2016,1854.84423702,3.078036,12.100,1.080,6229.26362,19.59946,Mass,19.300000,0.160903,,,0,G0,6215.00,2.04,1.11,0.638,4.05,101.3680000,7.9158900
HD 215152 b,HD 215152,1,4,Radial Velocity,2018,5.75999000,0.057638,1.190,0.106,1.81900,0.00572,Msini,5.930000,0.000000,,,0,K3 V,4935.00,0.73,0.77,-0.523,4.40,21.5974000,7.8016300
HD 215152 c,HD 215152,1,4,Radial Velocity,2018,7.28243000,0.067393,1.170,0.105,1.72000,0.00541,Msini,5.900000,0.000000,,,0,K3 V,4935.00,0.73,0.77,-0.523,4.40,21.5974000,7.8016300
HD 215152 d,HD 215152,1,4,Radial Velocity,2018,10.86499000,0.087990,1.480,0.132,2.80100,0.00881,Msini,4.750000,0.000000,,,0,K3 V,4935.00,0.73,0.77,-0.523,4.40,21.5974000,7.8016300
HD 215152 e,HD 215152,1,4,Radial Velocity,2018,25.19670000,0.154170,1.510,0.134,2.87700,0.00905,Msini,4.590000,0.000000,,,0,K3 V,4935.00,0.73,0.77,-0.523,4.40,21.5974000,7.8016300
HD 215497 b,HD 215497,1,2,Radial Velocity,2009,3.93404000,0.050000,2.400,0.214,6.35660,0.02000,Msini,2.530000,0.160000,,,0,K3 V,5110.00,0.85,0.67,-0.410,4.40,40.5468000,8.6860500
HD 215497 c,HD 215497,1,2,Radial Velocity,2009,567.94000000,1.282000,12.500,1.110,104.30000,0.33000,Msini,0.293000,0.490000,,,0,K3 V,5113.00,0.90,0.87,-0.410,4.31,40.5468000,8.6860500
HD 216435 b,HD 216435,1,1,Radial Velocity,2002,1311.00000000,2.560000,13.700,1.220,400.40000,1.26000,Msini,0.856000,0.070000,,,0,G0 V,5999.00,1.80,1.30,0.557,4.15,32.9834000,5.8835700
HD 216437 b,HD 216437,1,1,Radial Velocity,2002,1334.28000000,2.497000,13.300,1.190,706.53609,2.22300,Msini,1.650000,0.317000,,,0,G2/3IV,5909.00,1.39,1.17,0.350,4.19,26.6902000,5.8939700
